"YHTBID","YHCTCD","YHGMAB","YHCODE","YHDS50","YHSS50","YHDLUP","YHTLUP"
"X4","£¿£¿","£¿£¿£¿£¿","PLN       ","0.23994600                                        ","                                                  ","20161201","160012"
"X4","£¿£¿","£¿£¿£¿£¿","QAR       ","0.27462000                                        ","                                                  ","20161201","160012"
"X4","£¿£¿","£¿£¿£¿£¿","TRY       ","0.29325900                                        ","                                                  ","20161201","160014"
"X4","£¿£¿","£¿£¿£¿£¿","BRL       ","0.28966600                                        ","                                                  ","20161201","160006"
"X4","£¿£¿","£¿£¿£¿£¿","FIM       ","0.14716000                                        ","                                                  ","20131101","152010"
"X4","£¿£¿","£¿£¿£¿£¿","ITL       ","0.00045190                                        ","                                                  ","20131101","152106"
"X4","£¿£¿","£¿£¿£¿£¿","MYR       ","0.22489400                                        ","                                                  ","20161201","160010"
"X4","£¿£¿","£¿£¿£¿£¿","SEK       ","0.10893700                                        ","                                                  ","20161201","160013"
"X4","£¿£¿","£¿£¿£¿£¿","XDR       ","1.53628000                                        ","                                                  ","20140102","154234"
"X4","£¿£¿","£¿£¿£¿£¿","CLP       ","0.00148600                                        ","                                                  ","20161201","160007"
"X4","£¿£¿","£¿£¿£¿£¿","CAD       ","0.74540000                                        ","                                                  ","20161201","160006"
"X4","£¿£¿","£¿£¿£¿£¿","FRF       ","0.13339000                                        ","                                                  ","20131101","152015"
"X4","£¿£¿","£¿£¿£¿£¿","JOD       ","1.41233000                                        ","                                                  ","20161201","160009"
"X4","£¿£¿","£¿£¿£¿£¿","NLG       ","0.39706000                                        ","                                                  ","20131101","152218"
"X4","£¿£¿","£¿£¿£¿£¿","SGD       ","0.70279500                                        ","                                                  ","20161201","160013"
"X4","£¿£¿","£¿£¿£¿£¿","ZAR       ","0.07203300                                        ","                                                  ","20161201","160014"
"X4","£¿£¿","£¿£¿£¿£¿","CHF       ","0.98955900                                        ","                                                  ","20161201","160006"
"X4","£¿£¿","£¿£¿£¿£¿","GBP       ","1.25005400                                        ","                                                  ","20161201","160008"
"X4","£¿£¿","£¿£¿£¿£¿","JPY       ","0.00890400                                        ","                                                  ","20161201","160009"
"X4","£¿£¿","£¿£¿£¿£¿","NOK       ","0.11719800                                        ","                                                  ","20161201","160011"
"X4","£¿£¿","£¿£¿£¿£¿","SLL       ","0.00017900                                        ","                                                  ","20161201","160013"
"X4","£¿£¿","£¿£¿£¿£¿","AED       ","0.27248800                                        ","                                                  ","20161201","160006"
"X4","£¿£¿","£¿£¿£¿£¿","CNY       ","0.14521200                                        ","                                                  ","20161201","160007"
"X4","£¿£¿","£¿£¿£¿£¿","HKD       ","0.12893900                                        ","                                                  ","20161201","160008"
"X4","£¿£¿","£¿£¿£¿£¿","KRW       ","0.00085700                                        ","                                                  ","20161201","160009"
"X4","£¿£¿","£¿£¿£¿£¿","NPR       ","0.00914900                                        ","                                                  ","20161201","160011"
"X4","£¿£¿","£¿£¿£¿£¿","THB       ","0.02812200                                        ","                                                  ","20161201","160013"
"X4","£¿£¿","£¿£¿£¿£¿","ASF       ","0.89264000                                        ","                                                  ","20140401","152750"
"X4","£¿£¿","£¿£¿£¿£¿","DEM       ","0.44738000                                        ","                                                  ","20131101","151944"
"X4","£¿£¿","£¿£¿£¿£¿","IDR       ","0.00007400                                        ","                                                  ","20161201","160008"
"X4","£¿£¿","£¿£¿£¿£¿","KWD       ","3.27954900                                        ","                                                  ","20161201","160009"
"X4","£¿£¿","£¿£¿£¿£¿","NZD       ","0.71434000                                        ","                                                  ","20161201","160011"
"X4","£¿£¿","£¿£¿£¿£¿","TRL       ","0.65638000                                        ","                                                  ","20110503","151636"
"X4","£¿£¿","£¿£¿£¿£¿","ATS       ","0.06359000                                        ","                                                  ","20131101","151854"
"X4","£¿£¿","£¿£¿£¿£¿","DKK       ","0.14302700                                        ","                                                  ","20161201","160007"
"X4","£¿£¿","£¿£¿£¿£¿","INR       ","0.01457400                                        ","                                                  ","20161201","160008"
"X4","£¿£¿","£¿£¿£¿£¿","KZT       ","0.00293700                                        ","                                                  ","20161201","160010"
"X4","£¿£¿","£¿£¿£¿£¿","PHP       ","0.02012100                                        ","                                                  ","20161201","160011"
"X4","£¿£¿","£¿£¿£¿£¿","TWD       ","0.03139600                                        ","                                                  ","20161201","160014"
"X4","£¿£¿","£¿£¿£¿£¿","AUD       ","0.74930700                                        ","                                                  ","20161201","160006"
"X4","£¿£¿","£¿£¿£¿£¿","ESP       ","0.00525900                                        ","                                                  ","20131101","152005"
"X4","£¿£¿","£¿£¿£¿£¿","IQD       ","0.00086100                                        ","                                                  ","20161201","160009"
"X4","£¿£¿","£¿£¿£¿£¿","MOP       ","0.12514900                                        ","                                                  ","20161201","160010"
"X4","£¿£¿","£¿£¿£¿£¿","PKR       ","0.00953300                                        ","                                                  ","20161201","160012"
"X4","£¿£¿","£¿£¿£¿£¿","TZS       ","0.00045900                                        ","                                                  ","20161201","160014"
"X4","£¿£¿","£¿£¿£¿£¿","BEF       ","0.02169000                                        ","                                                  ","20131101","151909"
"X4","£¿£¿","£¿£¿£¿£¿","EUR       ","1.06565000                                        ","                                                  ","20161201","160007"
"X4","£¿£¿","£¿£¿£¿£¿","IRR       ","0.00003100                                        ","                                                  ","20161101","145027"
"X4","£¿£¿","£¿£¿£¿£¿","MXP       ","0.04848000                                        ","                                                  ","20161201","160010"
"X4","£¿£¿","£¿£¿£¿£¿","RUB       ","0.01535400                                        ","                                                  ","20161201","160012"
"X4","£¿£¿","£¿£¿£¿£¿","USD       ","1.00000000                                        ","                                                  ","20131101","152405"
